Country,Police,Ambulance,Fire,One Number,International,Problem
Afghanistan,119,102,119,,,
Albania,129,127,128,112,,
Algeria,17,14,14,,,
American Samoa,,,,911,,
Andorra,110,118,118,112,,
Angola,110,118,118,,,1
Anguilla,(264) 497 2333,,(264) 497 2333,911,,
Antarctica (McMurdo Station),,,,911,,
Antigua & Barbuda,,,,999/911,,1
Argentina,101,107,100,911,,
Armenia,102,103,101,112/911,,
Aruba,,,,911,,
Ascension Island,6666,6000,6412,911/999,,
Australia,,,,000,,
Austria,133,144,122,112,,
Azerbaijan (Baku),102,103,101,112,,
Azores,292 672 410,292 642 328,292 679 300,112,,
Bahamas,,,,919/911,,1
Bahrain,,,,999,,
Bali,118,112,118,,101,1
Bangladesh (Dhaka),999,199,9 555 555,,,
Barbados,211,511,311,,,1
Belarus,102,103,101,112,,
Belgium,101,100,100,112,,
Belize,2272222,90,90,911,,
Benin,117,30-17-69/90-30-02,118,,,
Bermuda,,,,911,,
Bhutan,113,110,112,,,
Bolivia,110,118,119,,,
Bonaire,,,,911,,1
Bosnia-Herzegovina,122,124,123,911/112,,
Botswana,999,997,998,911,,
Brazil,190,192,193,,,
Bosnia,107/92/122,104/94/124,105/93/123,,,1
British Virgin Islands,,,,999,,
Brunei,993,991,995,,,
Bulgaria,,,,112,,
Burkina Faso,17,,18,,,
Burma/Myanmar,199,192,191,999,,
Burundi,,,,112,,
"Cambodia, The Kingdom of (Phnom Penh)",117,119,118,,,
Cameroon,117,119,118,112,,
Canada,,,,911,,
Canary Islands,092,061,080,112,,
Cape Verde (Santiago Island),132,130,131,,,
Cayman Islands,,,,911,,
Central African Republic,236,,,,,
Chad,17,,18,,,
Chile,133,131,132,,,
"China, The People's Republic of",110,120,119,,112,
Christmas Island,,,,000,,
Columbia,156,132,119,123/112,,
Comoros Islands,7734 663,,,,,
Congo,665 4804,,,,,
Cook Islands,999,998,996,,,
Costa Rica,,,,911/112,,
Côte d'Ivoire,180,,110/111/170,,,1
Croatia,192,194,193,112,,
Cuba,,,,26811/116,,
Curaçao,444444,112,114,,,1
Cyprus,,,,112/199,,
Czech Republic,158,155,150,112,,
"Congo, Democratic Republic of/Zaïre",665 4804,,,,,
Denmark,,,,112,,
Djibouti,17,351351,18,,,
"Dominica, Commonwealth of",,,,999,,1
Dominican Republic,,,,911/112,,1
East Timor,,,,112,,
Easter Island,244,215,264,100,,1
Ecuador,101,,102,911,,
Egypt,112,123,180,,,
El Salvador,,,,911,,
England,,,,112/999,,
Equatorial Guinea,,local numbers only,,,,
Eritrea,,local numbers only,,,,
Estonia,,,,112,,
Ethiopia,91,92,93,,,
Faeroe Islands (Denmark),,,,112,,
Falkland Islands,,,,999,,
Fiji,911,911,9170,,,
Finland,,,,112,,
France,17,15,18,112,,
French Guiana,17,15,18,,,
French Polynesia,17,15,18,,,
Gabon,1730,1300-1399,18,,,
Gaborone,999,997/911,998,,,
"Gambia, The",17,16,18,,,
Georgia,122,113,111,,,
Germany,110,,,112,,
Ghana,191,193,192,999,,
Gibraltar,199,190,190,112,,
Greece,100,166,199,112,,
Greenland,,,,112 (mobile only),,
Grenada,,,,911,,
Guatemala,110,120,123,,,
Guinea,,local numbers only,,,,
Guyana,911,913,912,911,,
Haiti,114,118,,,,
Herzegovina,107/92/122,104/94/124,105/93/123,,,
Honduras,,,,199,,
Hong Kong,,,,999/112,,
Hungary,107,104,105,112,,
